symbol,entry_date,exit_date,qty,entry_price,exit_price,pnl,hold_days
AFRM,2025-04-30,2025-05-12,211,47.66476599999999,49.9700025,484.4049015000014,12.0
AFRM,2025-06-12,2025-07-14,164,62.20622,62.253774,5.798855999999688,32.0
AFRM,2025-09-02,2025-09-26,126,85.35853499999999,77.9922,-930.158209999999,24.0
AFRM,2025-09-29,2025-10-03,140,76.92769200000001,77.9172075,136.53216999999944,4.0
AFRM,2026-01-06,2026-01-27,137,81.63816299999999,71.022897,-1456.2914419999988,21.0
AGNC,2026-01-28,2026-02-02,916,12.131213,11.323867499999999,-741.5284780000019,5.0
AIT,2025-04-30,2025-05-08,42,239.333931,220.17798,-806.5499420000007,8.0
AIT,2025-07-23,2025-08-18,39,266.096607,255.114486,-430.30271900000025,26.0
AJG,2025-06-03,2025-06-06,29,349.684965,328.427154,-618.476519,3.0
AJG,2025-10-01,2025-10-14,35,307.900787,298.42015499999997,-333.8221200000005,13.0
AWI,2025-04-30,2025-10-29,69,144.83448199999998,193.55064299999998,3359.415109,182.0
AWI,2026-01-06,2026-01-21,56,199.909989,189.541044,-582.6609199999998,15.0
AYI,2025-06-11,2025-07-16,37,276.957693,288.211176,414.37887100000063,35.0
BBY,2025-11-18,2025-11-24,147,73.937393,76.9473045,440.4569905000002,6.0
BIIB,2025-05-30,2025-06-18,78,132.59825850000001,127.04729400000001,-434.97523100000046,19.0
BIIB,2025-08-18,2025-09-24,77,140.014,138.506148,-118.10460400000107,37.0
BIIB,2025-09-25,2025-09-30,78,138.41384,138.446154,0.5204920000010702,5.0
BIIB,2025-10-03,2026-01-15,69,156.475646,169.013097,863.0841189999983,104.0
BX,2025-07-18,2025-08-21,60,173.597358,163.9836,-578.8254800000011,34.0
BX,2025-08-22,2025-08-25,64,164.78647700000002,169.543044,302.42028799999935,3.0
BX,2025-09-26,2025-10-14,60,176.50764900000001,156.154383,-1223.1959600000012,18.0
CBRE,2025-06-24,2025-07-16,73,139.503949,137.936205,-116.44531200000034,22.0
CBRE,2025-07-30,2025-09-25,68,157.635762,155.994399,-113.61268400000085,57.0
CCK,2025-04-30,2025-06-03,104,97.119711,96.650334,-50.815207999999416,34.0
CCK,2025-06-20,2025-07-22,98,103.10030900000001,108.729126,549.6240659999984,32.0
CNP,2025-04-25,2025-05-12,264,37.853785,37.156284,-186.14026400000068,17.0
CNP,2025-07-22,2025-08-19,276,37.543754,37.726226999999994,48.3625479999985,28.0
CNP,2025-09-24,2025-10-30,280,39.0039,39.036096,7.014879999999721,36.0
CPNG,2025-05-28,2025-07-30,366,28.412841,30.086991,610.7389000000003,63.0
CPNG,2025-11-06,2025-11-25,367,29.712971,27.507249,-811.4999739999993,19.0
CR,2025-04-30,2025-09-02,64,155.74557299999998,182.571741,1714.8747520000015,125.0
CRH,2025-07-28,2025-11-06,105,100.030002,113.198679,1380.7110850000004,101.0
CROX,2025-05-13,2025-05-27,86,120.012,109.959003,-866.5577420000004,14.0
CTSH,2025-10-30,2025-11-18,152,71.697169,70.932906,-118.16797599999995,19.0
DPZ,2025-04-23,2025-05-30,20,486.378633,473.05269000000004,-268.51885999999877,37.0
DT,2025-06-06,2025-07-11,187,55.365536,52.69473,-501.4407219999998,35.0
FAF,2025-09-26,2025-09-29,166,64.59645900000001,65.043495,72.20797599999716,3.0
FCN,2025-12-08,2026-01-30,66,169.06690500000002,173.762622,307.91732199999825,53.0
GAP,2025-11-26,2025-12-30,426,26.872687000000003,25.937406000000003,-400.4297059999999,34.0
HBAN,2025-07-16,2025-07-18,624,16.651664999999998,16.918308000000003,164.38523200000344,2.0
HBAN,2025-08-25,2025-10-07,629,17.30173,16.818318,-306.0661479999986,43.0
HEI,2025-05-29,2025-07-11,35,296.0296,312.708726,581.7694099999999,43.0
