date,equity,cash
2024-07-01,800.0,800.0
2024-07-02,800.0,800.0
2024-07-03,800.0,800.0
2024-07-05,800.0,800.0
2024-07-08,800.0,800.0
2024-07-09,800.0,800.0
2024-07-10,800.0,800.0
2024-07-11,800.0,800.0
2024-07-12,800.0,800.0
2024-07-15,800.0,800.0
2024-07-16,800.0,800.0
2024-07-17,800.0,800.0
2024-07-18,800.0,800.0
2024-07-19,800.0,800.0
2024-07-22,800.0,800.0
2024-07-23,800.0,800.0
2024-07-24,800.0,800.0
2024-07-25,800.0,800.0
2024-07-26,800.0,800.0
2024-07-29,800.0,800.0
2024-07-30,800.0,800.0
2024-07-31,800.0,800.0
2024-08-01,800.0,800.0
2024-08-02,800.0,800.0
2024-08-05,800.0,800.0
2024-08-06,800.0,800.0
2024-08-07,800.0,800.0
2024-08-08,800.0,800.0
2024-08-09,800.0,800.0
2024-08-12,800.0,800.0
2024-08-13,800.0,800.0
2024-08-14,800.0,800.0
2024-08-15,800.0,800.0
2024-08-16,800.0,800.0
2024-08-19,800.0,800.0
2024-08-20,800.0,800.0
2024-08-21,800.0,800.0
2024-08-22,800.0,800.0
2024-08-23,800.0,800.0
2024-08-26,800.0,800.0
2024-08-27,800.0,800.0
2024-08-28,800.0,800.0
2024-08-29,800.0,800.0
2024-08-30,800.0,800.0
2024-09-03,800.0,800.0
2024-09-04,800.0,800.0
2024-09-05,800.0,800.0
2024-09-06,800.0,800.0
2024-09-09,800.0,800.0
2024-09-10,800.0,800.0
2024-09-11,800.0,800.0
2024-09-12,800.0,800.0
2024-09-13,800.0,800.0
2024-09-16,800.0,800.0
2024-09-17,800.0,800.0
2024-09-18,800.0,800.0
2024-09-19,800.0,800.0
2024-09-20,800.0,800.0
2024-09-23,800.0,800.0
2024-09-24,800.0,800.0
2024-09-25,800.0,800.0
2024-09-26,800.0,800.0
2024-09-27,800.0,800.0
2024-09-30,800.0,800.0
2024-10-01,800.0,800.0
2024-10-02,800.0,800.0
2024-10-03,799.0423519999999,722.512352
2024-10-04,799.652352,722.512352
2024-10-07,798.064668,644.664668
2024-10-08,797.427518,572.157518
2024-10-09,799.7775179999999,572.157518
2024-10-10,795.6732649999999,528.623265
2024-10-11,798.8286549999999,529.668655
2024-10-14,799.388655,529.668655
2024-10-15,795.7868169999999,459.1468169999999
2024-10-16,796.1631975,269.9331974999999
2024-10-17,789.5631974999999,269.9331974999999
2024-10-18,791.1131975,269.9331974999999
2024-10-21,781.4131974999999,269.9331974999999
2024-10-22,774.2798394999998,401.4998394999999
2024-10-23,768.6982924999999,613.9482924999999
2024-10-24,767.5954494999999,587.9654494999999
2024-10-25,764.1200295,532.7600294999999
2024-10-28,767.0400295,532.7600294999999
2024-10-29,767.3400294999999,532.7600294999999
2024-10-30,770.2300295,532.7600294999999
2024-10-31,764.2750104999999,380.55501049999987
2024-11-01,761.8550104999999,380.55501049999987
2024-11-04,761.4077374999999,452.2777374999999
2024-11-05,767.8745895,433.6645894999999
2024-11-06,769.7078935000001,365.6978934999999
2024-11-07,764.4206124999998,437.5006124999999
2024-11-08,760.7948314999998,378.68483149999986
2024-11-11,773.2544804999999,431.18948049999983
2024-11-12,767.0694804999998,431.18948049999983
2024-11-13,764.3965764999999,558.2165764999999
2024-11-14,760.9014144999999,505.59141449999987
2024-11-15,762.0414144999999,505.59141449999987
2024-11-18,766.3665424999999,553.3065424999999
2024-11-19,765.0665424999999,553.3065424999999
2024-11-20,764.1565424999998,553.3065424999999
2024-11-21,769.0865425,553.3065424999999
2024-11-22,768.0755174999997,441.04551749999985
2024-11-25,772.5699424999997,384.2899424999998
2024-11-26,767.4999424999999,384.2899424999998
2024-11-27,769.3199425,384.2899424999998
2024-11-29,770.6999424999999,384.2899424999998
2024-12-02,770.2999424999999,384.2899424999998
2024-12-03,771.7841724999998,440.98417249999983
2024-12-04,776.1641724999998,440.98417249999983
2024-12-05,769.8441724999999,440.98417249999983
2024-12-06,773.4541724999999,440.98417249999983
2024-12-09,766.8441724999999,440.98417249999983
2024-12-10,762.2941724999998,440.98417249999983
2024-12-11,764.9441724999997,440.98417249999983
2024-12-12,761.3541724999999,440.98417249999983
2024-12-13,758.8477884999998,376.13778849999983
2024-12-16,760.7446984999997,505.02469849999983
2024-12-17,756.8546984999998,505.02469849999983
2024-12-18,742.5246984999998,505.02469849999983
2024-12-19,743.0182264999999,568.7382264999999
2024-12-20,747.6782264999999,568.7382264999999
2024-12-23,745.9082265,568.7382264999999
2024-12-24,747.4782264999999,568.7382264999999
2024-12-26,749.4482264999999,568.7382264999999
2024-12-27,746.3582264999999,568.7382264999999
2024-12-30,742.1282264999999,568.7382264999999
2024-12-31,740.3582264999999,568.7382264999999
2025-01-02,741.4482264999999,568.7382264999999
2025-01-03,743.3109484999998,494.95094849999987
2025-01-06,739.3439434999999,563.9939434999999
2025-01-07,733.9577274999998,625.1477274999999
2025-01-08,731.4377274999998,625.1477274999999
2025-01-10,729.7819934999998,681.4819934999998
2025-01-13,727.6019934999998,681.4819934999998
2025-01-14,726.8173594999998,726.8173594999998
2025-01-15,725.2509294999999,661.5109294999999
2025-01-16,727.1109294999999,661.5109294999999
2025-01-17,723.9239694999999,590.9039694999999
2025-01-21,728.3839694999999,590.9039694999999
2025-01-22,725.6089894999999,540.0989894999999
2025-01-23,724.8689895,540.0989894999999
2025-01-24,725.1889894999999,540.0989894999999
2025-01-27,723.2889894999998,540.0989894999999
2025-01-28,727.3889895,540.0989894999999
2025-01-29,727.8689895,540.0989894999999
2025-01-30,729.1289894999999,540.0989894999999
2025-01-31,726.6489894999999,540.0989894999999
2025-02-03,721.0843794999998,585.1943794999999
2025-02-04,723.5743794999998,585.1943794999999
2025-02-05,725.3243794999998,585.1943794999999
2025-02-06,725.4143794999999,585.1943794999999
2025-02-07,724.4843794999998,585.1943794999999
2025-02-10,726.9143794999999,585.1943794999999
2025-02-11,722.9143794999999,585.1943794999999
2025-02-12,727.8472374999998,512.7672374999999
2025-02-13,732.1572375,512.7672374999999
2025-02-14,731.3872374999999,512.7672374999999
2025-02-18,733.1872374999999,512.7672374999999
2025-02-19,728.9672375,512.7672374999999
2025-02-20,725.5972374999999,512.7672374999999
2025-02-21,722.6472375,512.7672374999999
2025-02-24,720.4003114999998,581.0203114999998
2025-02-25,719.3232244999999,650.8832244999999
2025-02-26,718.9632244999999,650.8832244999999
2025-02-27,714.7582264999999,599.8982264999999
2025-02-28,716.0582264999998,599.8982264999999
2025-03-03,716.6582264999998,599.8982264999999
2025-03-04,713.9982264999999,599.8982264999999
2025-03-05,715.4982264999999,599.8982264999999
2025-03-06,711.7841274999998,557.9041274999998
2025-03-07,712.1494994999998,603.1794994999998
2025-03-10,710.1833074999997,540.2533074999998
2025-03-11,705.7936464999998,521.4736464999999
2025-03-12,704.8336464999999,521.4736464999999
2025-03-13,703.8482544999999,574.3882544999999
2025-03-14,706.7882545,574.3882544999999
2025-03-17,707.6682544999999,574.3882544999999
2025-03-18,706.3070905,460.73709049999997
2025-03-19,707.6930255,419.08302549999996
2025-03-20,706.9761254999999,349.0761255
2025-03-21,701.7692344999999,416.97923449999996
2025-03-24,701.9505514999998,406.5605515
2025-03-25,698.5205515,406.5605515
2025-03-26,698.2145815,465.2545815
2025-03-27,698.9645815,465.2545815
2025-03-28,694.4945815000001,465.2545815
2025-03-31,692.1801915000001,508.15019149999995
2025-04-01,687.4701914999999,508.15019149999995
2025-04-02,686.5463374999999,545.6863374999999
2025-04-03,685.1663374999999,545.6863374999999
2025-04-04,679.4763374999999,545.6863374999999
2025-04-07,675.4203634999999,604.4203634999999
2025-04-08,675.5203634999999,604.4203634999999
2025-04-09,676.9403634999999,604.4203634999999
2025-04-10,676.8003634999999,604.4203634999999
2025-04-11,677.5803634999999,604.4203634999999
2025-04-14,678.8803634999999,604.4203634999999
2025-04-15,678.7403634999998,604.4203634999999
2025-04-16,677.9803634999998,604.4203634999999
2025-04-17,678.7403634999998,604.4203634999999
2025-04-21,677.4003634999999,604.4203634999999
2025-04-22,678.9403634999999,604.4203634999999
2025-04-23,679.1003635,604.4203634999999
2025-04-24,680.2203634999998,604.4203634999999
2025-04-25,680.3938175,537.9538174999999
2025-04-28,681.5738174999999,537.9538174999999
2025-04-29,682.1738174999999,537.9538174999999
2025-04-30,686.3290514999999,489.2890514999999
2025-05-01,685.7190515,489.2890514999999
2025-05-02,688.4890515,489.2890514999999
2025-05-05,686.9017234999999,312.9917234999999
2025-05-06,682.2517234999999,312.9917234999999
2025-05-07,686.0717235,312.9917234999999
2025-05-08,684.0117234999999,312.9917234999999
2025-05-09,672.7754655,374.5654654999999
2025-05-12,676.069084,486.36908399999993
2025-05-13,669.687529,164.78752899999995
2025-05-14,672.3275289999999,164.78752899999995
2025-05-15,674.107529,164.78752899999995
2025-05-16,676.697529,164.78752899999995
2025-05-19,675.417529,164.78752899999995
2025-05-20,673.117529,164.78752899999995
2025-05-21,664.3675289999999,164.78752899999995
2025-05-22,664.6514199999999,224.87141999999994
