date,equity,cash
2024-07-01,100000.0,100000.0
2024-07-02,100000.0,100000.0
2024-07-03,100000.0,100000.0
2024-07-05,100000.0,100000.0
2024-07-08,100000.0,100000.0
2024-07-09,100000.0,100000.0
2024-07-10,100000.0,100000.0
2024-07-11,100000.0,100000.0
2024-07-12,100000.0,100000.0
2024-07-15,100000.0,100000.0
2024-07-16,100000.0,100000.0
2024-07-17,100000.0,100000.0
2024-07-18,100000.0,100000.0
2024-07-19,100000.0,100000.0
2024-07-22,100000.0,100000.0
2024-07-23,100000.0,100000.0
2024-07-24,100000.0,100000.0
2024-07-25,100000.0,100000.0
2024-07-26,100000.0,100000.0
2024-07-29,100000.0,100000.0
2024-07-30,100000.0,100000.0
2024-07-31,100000.0,100000.0
2024-08-01,100000.0,100000.0
2024-08-02,100000.0,100000.0
2024-08-05,100000.0,100000.0
2024-08-06,100000.0,100000.0
2024-08-07,100000.0,100000.0
2024-08-08,100000.0,100000.0
2024-08-09,100000.0,100000.0
2024-08-12,100000.0,100000.0
2024-08-13,100000.0,100000.0
2024-08-14,100000.0,100000.0
2024-08-15,100000.0,100000.0
2024-08-16,100000.0,100000.0
2024-08-19,100000.0,100000.0
2024-08-20,100000.0,100000.0
2024-08-21,100000.0,100000.0
2024-08-22,100000.0,100000.0
2024-08-23,100000.0,100000.0
2024-08-26,100000.0,100000.0
2024-08-27,100000.0,100000.0
2024-08-28,100000.0,100000.0
2024-08-29,100000.0,100000.0
2024-08-30,100000.0,100000.0
2024-09-03,100000.0,100000.0
2024-09-04,100000.0,100000.0
2024-09-05,100000.0,100000.0
2024-09-06,100000.0,100000.0
2024-09-09,100000.0,100000.0
2024-09-10,100000.0,100000.0
2024-09-11,100000.0,100000.0
2024-09-12,100000.0,100000.0
2024-09-13,100000.0,100000.0
2024-09-16,100000.0,100000.0
2024-09-17,100000.0,100000.0
2024-09-18,100000.0,100000.0
2024-09-19,100000.0,100000.0
2024-09-20,100000.0,100000.0
2024-09-23,100000.0,100000.0
2024-09-24,100000.0,100000.0
2024-09-25,100000.0,100000.0
2024-09-26,100000.0,100000.0
2024-09-27,100000.0,100000.0
2024-09-30,100000.0,100000.0
2024-10-01,100000.0,100000.0
2024-10-02,100000.0,100000.0
2024-10-03,100000.0,100000.0
2024-10-04,100000.0,100000.0
2024-10-07,100000.0,100000.0
2024-10-08,100000.0,100000.0
2024-10-09,100000.0,100000.0
2024-10-10,100000.0,100000.0
2024-10-11,100000.0,100000.0
2024-10-14,100000.0,100000.0
2024-10-15,100000.0,100000.0
2024-10-16,100066.59804000001,169.4180400000041
2024-10-17,100226.06804000001,169.4180400000041
2024-10-18,101454.41804,169.4180400000041
2024-10-21,102092.29804,169.4180400000041
2024-10-22,101825.07804000001,169.4180400000041
2024-10-23,99626.97804,169.4180400000041
2024-10-24,99545.08804,169.4180400000041
2024-10-25,99907.12804,169.4180400000041
2024-10-28,100764.81804000001,169.4180400000041
2024-10-29,100881.18804,169.4180400000041
2024-10-30,99342.51804,169.4180400000041
2024-10-31,97536.62804,169.4180400000041
2024-11-01,95394.8094485,95394.8094485
2024-11-04,95394.8094485,95394.8094485
2024-11-05,95394.8094485,95394.8094485
2024-11-06,95394.8094485,95394.8094485
2024-11-07,95394.8094485,95394.8094485
2024-11-08,95394.8094485,95394.8094485
2024-11-11,95394.8094485,95394.8094485
2024-11-12,95394.8094485,95394.8094485
2024-11-13,95394.8094485,95394.8094485
2024-11-14,95394.8094485,95394.8094485
2024-11-15,95394.8094485,95394.8094485
2024-11-18,95394.8094485,95394.8094485
2024-11-19,95394.8094485,95394.8094485
2024-11-20,95394.8094485,95394.8094485
2024-11-21,95394.8094485,95394.8094485
2024-11-22,95394.8094485,95394.8094485
2024-11-25,95394.8094485,95394.8094485
2024-11-26,95394.8094485,95394.8094485
2024-11-27,95573.0801695,191.50016949999554
2024-11-29,96547.4801695,191.50016949999554
2024-12-02,97465.0401695,191.50016949999554
2024-12-03,98707.4001695,191.50016949999554
2024-12-04,98853.5601695,191.50016949999554
2024-12-05,98865.74016949999,191.50016949999554
2024-12-06,98784.5401695,191.50016949999554
2024-12-09,100372.0001695,191.50016949999554
2024-12-10,100786.1201695,191.50016949999554
2024-12-11,100266.4401695,191.50016949999554
2024-12-12,100863.2601695,191.50016949999554
2024-12-13,100932.2801695,191.50016949999554
2024-12-16,102113.74016949999,191.50016949999554
2024-12-17,103104.38016949999,191.50016949999554
2024-12-18,100899.8001695,191.50016949999554
2024-12-19,101606.24016949999,191.50016949999554
2024-12-20,103514.4401695,191.50016949999554
2024-12-23,103831.1201695,191.50016949999554
2024-12-24,105020.70016949999,191.50016949999554
2024-12-26,105353.62016949999,191.50016949999554
2024-12-27,103961.0401695,191.50016949999554
2024-12-30,102584.70016949999,191.50016949999554
2024-12-31,101862.02016949999,191.50016949999554
2025-01-02,99194.60016949999,191.50016949999554
2025-01-03,98984.7797535,98984.7797535
2025-01-06,98984.7797535,98984.7797535
2025-01-07,98984.7797535,98984.7797535
